ano,sigla_uf,rede,ensino,ano_escolar,taxa_aprovacao
2005,MG,privada,fundamental,9,94.1
2005,MG,privada,medio,1,89.2
2005,MG,privada,medio,2,93.4
2005,MG,privada,medio,3,95.7
2005,MG,privada,medio,4,98.9
2005,MG,publica,fundamental,1,96.6
2005,MG,publica,fundamental,2,86.9
2005,MG,publica,fundamental,3,83.8
2005,MG,publica,fundamental,4,91
2005,MG,publica,fundamental,5,87
2005,MG,publica,fundamental,6,75
2005,MG,publica,fundamental,7,76.3
2005,MG,publica,fundamental,8,78.4
2005,MG,publica,fundamental,9,72.6
2005,MG,total,fundamental,1,96.6
2005,MG,total,fundamental,2,87.9
2005,MG,total,fundamental,3,84.9
2005,MG,total,fundamental,4,91.6
2005,MG,total,fundamental,5,87.8
2005,MG,total,fundamental,6,76.4
2005,MG,total,fundamental,7,77.6
2005,MG,total,fundamental,8,79.7
2005,MG,total,fundamental,9,74.3
2005,MG,total,medio,1,66.8
2005,MG,total,medio,2,76.2
2005,MG,total,medio,3,80.8
2005,MG,total,medio,4,96.1
2005,MS,estadual,fundamental,1,
2005,MS,estadual,fundamental,2,64.4
2005,MS,estadual,fundamental,3,71.6
2005,MS,estadual,fundamental,4,77.8
2005,MS,estadual,fundamental,5,77.8
2005,MS,estadual,fundamental,6,61
2005,MS,estadual,fundamental,7,63.3
2005,MS,estadual,fundamental,8,66.5
2005,MS,estadual,fundamental,9,70.5
2005,MS,estadual,medio,1,53.9
2005,MS,estadual,medio,2,67.1
2005,MS,estadual,medio,3,74.4
2005,MS,estadual,medio,4,
2005,MS,privada,fundamental,1,
2005,MS,privada,fundamental,2,96.2
2005,MS,privada,fundamental,3,98
2005,MS,privada,fundamental,4,98.3
2005,MS,privada,fundamental,5,98.3
2005,MS,privada,fundamental,6,96.2
2005,MS,privada,fundamental,7,95.4
2005,MS,privada,fundamental,8,95.2
2005,MS,privada,fundamental,9,94.5
2005,MS,privada,medio,1,90.8
2005,MS,privada,medio,2,95.1
2005,MS,privada,medio,3,97.5
2005,MS,privada,medio,4,
2005,MS,publica,fundamental,1,81.2
2005,MS,publica,fundamental,2,67.2
2005,MS,publica,fundamental,3,75.6
2005,MS,publica,fundamental,4,78.7
2005,MS,publica,fundamental,5,80.8
2005,MS,publica,fundamental,6,63.6
2005,MS,publica,fundamental,7,66.6
2005,MS,publica,fundamental,8,69.2
2005,MS,publica,fundamental,9,75.4
2005,MS,total,fundamental,1,81.2
2005,MS,total,fundamental,2,69.5
2005,MS,total,fundamental,3,77.6
2005,MS,total,fundamental,4,80.4
2005,MS,total,fundamental,5,82.4
2005,MS,total,fundamental,6,65.9
2005,MS,total,fundamental,7,68.9
2005,MS,total,fundamental,8,71.8
2005,MS,total,fundamental,9,77.6
2005,MS,total,medio,1,58.2
2005,MS,total,medio,2,71.8
2005,MS,total,medio,3,78.9
2005,MS,total,medio,4,
2005,MT,estadual,fundamental,1,83.4
2005,MT,estadual,fundamental,2,79.8
2005,MT,estadual,fundamental,3,78.5
2005,MT,estadual,fundamental,4,85.3
2005,MT,estadual,fundamental,5,84.6
2005,MT,estadual,fundamental,6,67.7
2005,MT,estadual,fundamental,7,70.4
2005,MT,estadual,fundamental,8,70.3
2005,MT,estadual,fundamental,9,68.6
2005,MT,estadual,medio,1,58.4
2005,MT,estadual,medio,2,65.2
2005,MT,estadual,medio,3,71.3
2005,MT,estadual,medio,4,
2005,MT,privada,fundamental,1,
2005,MT,privada,fundamental,2,92.3
2005,MT,privada,fundamental,3,94.2
2005,MT,privada,fundamental,4,95
2005,MT,privada,fundamental,5,94.1
2005,MT,privada,fundamental,6,93.2
2005,MT,privada,fundamental,7,93.6
2005,MT,privada,fundamental,8,93.7
2005,MT,privada,fundamental,9,94.3
2005,MT,privada,medio,1,89.6
2005,MT,privada,medio,2,93.4
2005,MT,privada,medio,3,94.4
2005,MT,privada,medio,4,100
2005,MT,publica,fundamental,1,88.1
2005,MT,publica,fundamental,2,77.5
2005,MT,publica,fundamental,3,78.4
2005,MT,publica,fundamental,4,84.2
2005,MT,publica,fundamental,5,83.9
2005,MT,publica,fundamental,6,68.9
2005,MT,publica,fundamental,7,71.7
2005,MT,publica,fundamental,8,72.1
2005,MT,publica,fundamental,9,71.7
2005,MT,total,fundamental,1,88.1
2005,MT,total,fundamental,2,78.4
2005,MT,total,fundamental,3,79.3
2005,MT,total,fundamental,4,84.9
2005,MT,total,fundamental,5,84.6
2005,MT,total,fundamental,6,70.3
2005,MT,total,fundamental,7,73
2005,MT,total,fundamental,8,73.5
2005,MT,total,fundamental,9,73.3
2005,MT,total,medio,1,61.1
2005,MT,total,medio,2,67.9
2005,MT,total,medio,3,74.5
2005,MT,total,medio,4,100
2005,PA,estadual,fundamental,1,
2005,PA,estadual,fundamental,2,59.1
2005,PA,estadual,fundamental,3,69.9
2005,PA,estadual,fundamental,4,73.8
2005,PA,estadual,fundamental,5,78.1
2005,PA,estadual,fundamental,6,71.2
2005,PA,estadual,fundamental,7,74.3
2005,PA,estadual,fundamental,8,76.9
2005,PA,estadual,fundamental,9,75.6
2005,PA,estadual,medio,1,62
2005,PA,estadual,medio,2,70.4
2005,PA,estadual,medio,3,72
2005,PA,estadual,medio,4,91.6
2005,PA,privada,fundamental,1,
2005,PA,privada,fundamental,2,95.1
2005,PA,privada,fundamental,3,96.4
2005,PA,privada,fundamental,4,96.7
2005,PA,privada,fundamental,5,97
2005,PA,privada,fundamental,6,95.5
2005,PA,privada,fundamental,7,95.2
2005,PA,privada,fundamental,8,96
2005,PA,privada,fundamental,9,93.6
2005,PA,privada,medio,1,88.3
2005,PA,privada,medio,2,94.1
2005,PA,privada,medio,3,91.1
2005,PA,privada,medio,4,
2005,PA,publica,fundamental,1,82.3
2005,PA,publica,fundamental,2,53.7
2005,PA,publica,fundamental,3,66.3
2005,PA,publica,fundamental,4,71.1
2005,PA,publica,fundamental,5,75.8
2005,PA,publica,fundamental,6,69.7
2005,PA,publica,fundamental,7,74.5
2005,PA,publica,fundamental,8,77.6
2005,PA,publica,fundamental,9,77.7
2005,PA,total,fundamental,1,82.3
2005,PA,total,fundamental,2,54.8
2005,PA,total,fundamental,3,67.4
2005,PA,total,fundamental,4,72.2
2005,PA,total,fundamental,5,76.7
2005,PA,total,fundamental,6,70.9
2005,PA,total,fundamental,7,75.7
2005,PA,total,fundamental,8,79
2005,PA,total,fundamental,9,79.1
2005,PA,total,medio,1,63.6
2005,PA,total,medio,2,72.4
2005,PA,total,medio,3,73.9
2005,PA,total,medio,4,91.5
2005,PB,estadual,fundamental,1,86
2005,PB,estadual,fundamental,2,64.3
2005,PB,estadual,fundamental,3,74.4
2005,PB,estadual,fundamental,4,77.2
2005,PB,estadual,fundamental,5,80
2005,PB,estadual,fundamental,6,54.9
2005,PB,estadual,fundamental,7,63.1
2005,PB,estadual,fundamental,8,69.7
2005,PB,estadual,fundamental,9,73.9
2005,PB,estadual,medio,1,61.7
2005,PB,estadual,medio,2,70.3
2005,PB,estadual,medio,3,80.5
2005,PB,estadual,medio,4,92.6
2005,PB,privada,fundamental,1,
2005,PB,privada,fundamental,2,97.4
2005,PB,privada,fundamental,3,98.1
2005,PB,privada,fundamental,4,97.8
2005,PB,privada,fundamental,5,97.6
2005,PB,privada,fundamental,6,93.7
2005,PB,privada,fundamental,7,93.5
2005,PB,privada,fundamental,8,93.3
2005,PB,privada,fundamental,9,93.1
2005,PB,privada,medio,1,89.8
2005,PB,privada,medio,2,93.7
2005,PB,privada,medio,3,97
2005,PB,privada,medio,4,96.4
2005,PB,publica,fundamental,1,84.9
2005,PB,publica,fundamental,2,60.2
2005,PB,publica,fundamental,3,67.5
2005,PB,publica,fundamental,4,72.2
2005,PB,publica,fundamental,5,75.2
2005,PB,publica,fundamental,6,54.4
2005,PB,publica,fundamental,7,63.6
2005,PB,publica,fundamental,8,70.5
2005,PB,publica,fundamental,9,75.3
2005,PB,total,fundamental,1,84.9
2005,PB,total,fundamental,2,63.3
2005,PB,total,fundamental,3,70.5
2005,PB,total,fundamental,4,74.8
2005,PB,total,fundamental,5,77.4
2005,PB,total,fundamental,6,57.2
2005,PB,total,fundamental,7,66.3
2005,PB,total,fundamental,8,72.8
2005,PB,total,fundamental,9,77.3
2005,PB,total,medio,1,65.5
2005,PB,total,medio,2,74.1
2005,PB,total,medio,3,83.7
2005,PB,total,medio,4,93.1
2005,PE,estadual,fundamental,1,
